signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl
5358,5359,5363,-1,5329.145,5344.045,-14.899999999999636
5463,5464,5468,1,5344.248,5336.448,-7.799999999999272
5579,5580,5584,1,5358.435,5362.755,4.319999999999709
5586,5587,5591,1,5370.915,5363.025,-7.890000000000327
5593,5594,5598,1,5367.785,5371.385,3.600000000000364
5633,5634,5638,-1,5352.805,5338.755,14.050000000000182
5639,5640,5644,-1,5333.775,5342.515,-8.740000000000691
5827,5828,5832,1,5363.758,5364.298,0.5399999999999636
5849,5850,5854,-1,5354.005,5346.925,7.079999999999927
5857,5858,5862,-1,5336.655,5344.215,-7.5600000000004
5870,5871,5875,-1,5322.045,5311.645,10.399999999999636
5891,5892,5896,-1,5299.535,5298.365,1.1700000000000728
6050,6051,6055,-1,5302.645,5296.525,6.1200000000008
6059,6060,6064,1,5300.115,5292.705,-7.4099999999998545
6084,6085,6089,-1,5247.755,5252.815,-5.059999999999491
6179,6180,6184,1,5255.285,5246.045,-9.239999999999782
6187,6188,6192,-1,5186.005,5199.828,-13.82300000000032
6203,6204,6208,-1,5187.095,5125.895,61.19999999999982
6720,6721,6725,1,5124.518,5116.205,-8.313000000000102
6770,6771,6775,-1,5091.655,5098.675,-7.020000000000437
6900,6901,6905,-1,5115.435,5108.465,6.970000000000255
6959,6960,6964,1,5147.945,5149.975,2.030000000000655
7214,7215,7219,1,5164.245,5159.215,-5.029999999999745
7274,7275,7279,1,5144.709,5142.258,-2.451000000000022
7387,7388,7392,-1,5154.918,5152.615,2.3029999999998836
7513,7514,7518,1,5197.745,5192.208,-5.537000000000262
7649,7650,7654,-1,5173.915,5172.975,0.9399999999995998
7659,7660,7664,-1,5159.885,5165.555,-5.670000000000073
7679,7680,7684,1,5178.575,5179.835,1.2600000000002183
7739,7740,7744,1,5176.665,5178.435,1.7700000000004366
7770,7771,7775,1,5179.325,5173.285,-6.039999999999964
8136,8137,8141,1,5141.525,5146.315,4.789999999999964
8149,8150,8154,-1,5134.995,5137.055,-2.0600000000004
8289,8290,8294,1,5170.815,5172.115,1.300000000000182
