tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M5,ABSORPTION,1,2026-08-11 13:20:00+00:00,6.190357142856881,False,2026-08-11 13:20:00+00:00,1,1.0,4394.675,4397.775,3.0999999999994543
M5,ABSORPTION,1,2026-08-11 14:10:00+00:00,7.660357142857135,False,2026-08-11 14:10:00+00:00,1,1.0,4384.905,4386.825,1.9200000000000728
M1,IMBALANCE,-1,2026-08-11 15:35:00+00:00,2.978214285714265,False,2026-08-11 15:35:00+00:00,1,1.0,4377.745,4371.825,5.920000000000073
M1,IMBALANCE,-1,2026-08-11 18:09:00+00:00,2.147857142857382,False,2026-08-11 18:09:00+00:00,1,1.0,4361.465,4363.285,-1.819999999999709
M1,IMBALANCE,1,2026-08-12 01:04:00+00:00,2.4200000000000728,False,2026-08-12 01:04:00+00:00,1,1.0,4384.965,4385.595,0.6300000000001091
M1,IMBALANCE,1,2026-08-12 02:43:00+00:00,1.9567857142856155,False,2026-08-12 02:43:00+00:00,1,1.0,4407.305,4410.615,3.3099999999994907
M1,IMBALANCE,1,2026-08-12 02:48:00+00:00,2.2224999999999846,False,2026-08-12 02:48:00+00:00,1,1.0,4410.975,4413.105,2.1299999999991996
M1,IMBALANCE,-1,2026-08-12 05:34:00+00:00,2.275714285714327,False,2026-08-12 05:34:00+00:00,1,1.0,4392.465,4394.635,-2.1700000000000728
M1,IMBALANCE,1,2026-08-12 09:16:00+00:00,1.9785714285712206,False,2026-08-12 09:16:00+00:00,1,1.0,4418.285,4414.075,-4.210000000000036
M1,IMBALANCE,1,2026-08-12 09:23:00+00:00,2.2382142857142884,False,2026-08-12 09:23:00+00:00,1,1.0,4417.835,4415.075,-2.7600000000002183
M1,IMBALANCE,1,2026-08-12 09:24:00+00:00,2.457499999999982,False,2026-08-12 09:24:00+00:00,1,1.0,4421.615,4415.145,-6.469999999999345
M1,IMBALANCE,-1,2026-08-12 12:31:00+00:00,6.808392857142735,True,2026-08-12 12:31:00+00:00,1,1.0,4393.875,4417.315,-23.4399999999996
M5,ABSORPTION,1,2026-08-12 12:35:00+00:00,8.105714285714514,True,2026-08-12 12:35:00+00:00,1,1.0,4425.615,4428.805,3.1900000000005093
M1,IMBALANCE,1,2026-08-12 12:38:00+00:00,10.84910714285713,False,2026-08-12 12:38:00+00:00,1,1.0,4426.695,4431.275,4.579999999999927
M5,ABSORPTION,1,2026-08-12 12:40:00+00:00,8.651071428571672,False,2026-08-12 12:40:00+00:00,2,2.0,4429.645,4428.415,-2.460000000000946
M1,IMBALANCE,1,2026-08-12 12:40:00+00:00,11.525178571428569,False,2026-08-12 12:40:00+00:00,2,2.0,4429.645,4428.415,-2.460000000000946
M1,IMBALANCE,1,2026-08-12 12:43:00+00:00,11.75660714285719,False,2026-08-12 12:43:00+00:00,1,1.0,4432.015,4420.995,-11.020000000000437
M5,ABSORPTION,1,2026-08-12 13:30:00+00:00,13.852857142857115,False,2026-08-12 13:30:00+00:00,1,1.0,4418.945,4413.705,-5.239999999999782
M1,IMBALANCE,1,2026-08-13 00:00:00+00:00,1.1432142857144885,False,2026-08-13 00:00:00+00:00,1,1.0,4414.745,4415.905,1.1599999999998545
M1,IMBALANCE,1,2026-08-13 00:07:00+00:00,1.898928571428444,False,2026-08-13 00:07:00+00:00,1,1.0,4419.485,4419.855,0.36999999999989086
M1,IMBALANCE,1,2026-08-13 00:08:00+00:00,1.947857142856979,False,2026-08-13 00:08:00+00:00,1,1.0,4420.665,4420.115,-0.5500000000001819
M1,IMBALANCE,1,2026-08-13 00:16:00+00:00,2.014642857142787,False,2026-08-13 00:16:00+00:00,1,1.0,4423.895,4430.115,6.219999999999345
M1,IMBALANCE,1,2026-08-13 00:24:00+00:00,2.5982142857142856,False,2026-08-13 00:24:00+00:00,1,1.0,4437.545,4427.635,-9.909999999999854
M1,IMBALANCE,1,2026-08-13 00:34:00+00:00,3.1828571428571064,False,2026-08-13 00:34:00+00:00,1,1.0,4434.265,4437.125,2.8599999999996726
M1,IMBALANCE,1,2026-08-13 00:35:00+00:00,4.060714285714312,False,2026-08-13 00:35:00+00:00,1,1.0,4444.495,4436.795,-7.699999999999818
M1,IMBALANCE,-1,2026-08-13 05:42:00+00:00,2.8953571428571974,False,2026-08-13 05:42:00+00:00,1,1.0,4395.015,4384.805,10.210000000000036
M1,IMBALANCE,-1,2026-08-13 05:43:00+00:00,3.1117857142858156,False,2026-08-13 05:43:00+00:00,1,1.0,4391.045,4385.915,5.130000000000109
M1,IMBALANCE,-1,2026-08-13 05:44:00+00:00,3.3110714285714624,False,2026-08-13 05:44:00+00:00,1,1.0,4388.265,4387.765,0.5
M1,IMBALANCE,-1,2026-08-13 05:47:00+00:00,3.123928571428613,False,2026-08-13 05:47:00+00:00,1,1.0,4383.985,4389.795,-5.8100000000004
M1,IMBALANCE,1,2026-08-13 13:08:00+00:00,3.531428571428413,False,2026-08-13 13:08:00+00:00,1,1.0,4397.865,4392.515,-5.349999999999454
M5,ABSORPTION,-1,2026-08-13 14:05:00+00:00,7.50249999999999,False,2026-08-13 14:05:00+00:00,1,1.0,4373.045,4369.745,3.300000000000182
M5,ABSORPTION,-1,2026-08-13 14:10:00+00:00,7.621428571428559,False,2026-08-13 14:10:00+00:00,1,1.0,4369.135,4371.325,-2.1899999999996
